game_id,season,game_type,week,gameday,weekday,gametime,away_team,home_team,away_score,home_score,result,overtime,stadium
2025_01_DAL_PHI,2025,REG,1,2025-09-04,Thursday,20:20,DAL,PHI,20.0,24.0,4.0,0.0,Lincoln Financial Field
2025_01_KC_LAC,2025,REG,1,2025-09-05,Friday,20:00,KC,LAC,21.0,27.0,6.0,0.0,SoFi Stadium
2025_01_TB_ATL,2025,REG,1,2025-09-07,Sunday,13:00,TB,ATL,23.0,20.0,-3.0,0.0,Mercedes-Benz Stadium
2025_01_CIN_CLE,2025,REG,1,2025-09-07,Sunday,13:00,CIN,CLE,17.0,16.0,-1.0,0.0,FirstEnergy Stadium
2025_01_MIA_IND,2025,REG,1,2025-09-07,Sunday,13:00,MIA,IND,8.0,33.0,25.0,0.0,Lucas Oil Stadium
2025_01_CAR_JAX,2025,REG,1,2025-09-07,Sunday,13:00,CAR,JAX,10.0,26.0,16.0,0.0,TIAA Bank Stadium
2025_01_LV_NE,2025,REG,1,2025-09-07,Sunday,13:00,LV,NE,20.0,13.0,-7.0,0.0,Gillette Stadium
2025_01_ARI_NO,2025,REG,1,2025-09-07,Sunday,13:00,ARI,NO,20.0,13.0,-7.0,0.0,Mercedes-Benz Superdome
2025_01_PIT_NYJ,2025,REG,1,2025-09-07,Sunday,13:00,PIT,NYJ,34.0,32.0,-2.0,0.0,MetLife Stadium
2025_01_NYG_WAS,2025,REG,1,2025-09-07,Sunday,13:00,NYG,WAS,6.0,21.0,15.0,0.0,FedExField
2025_01_TEN_DEN,2025,REG,1,2025-09-07,Sunday,16:05,TEN,DEN,12.0,20.0,8.0,0.0,Empower Field at Mile High
2025_01_SF_SEA,2025,REG,1,2025-09-07,Sunday,16:05,SF,SEA,17.0,13.0,-4.0,0.0,Lumen Field
2025_01_DET_GB,2025,REG,1,2025-09-07,Sunday,16:25,DET,GB,13.0,27.0,14.0,0.0,Lambeau Field
2025_01_HOU_LA,2025,REG,1,2025-09-07,Sunday,16:25,HOU,LA,9.0,14.0,5.0,0.0,SoFi Stadium
2025_01_BAL_BUF,2025,REG,1,2025-09-07,Sunday,20:20,BAL,BUF,40.0,41.0,1.0,0.0,New Era Field
2025_01_MIN_CHI,2025,REG,1,2025-09-08,Monday,20:15,MIN,CHI,27.0,24.0,-3.0,0.0,Soldier Field
